,course,question,pct_agree,n,time
0,Chemistry 14A,apply_math,89.75265017667844,283,w3
1,Chemistry 14A,asking_questions,57.59717314487632,283,w3
2,Chemistry 14A,at_least_b,90.81272084805654,283,w3
3,Chemistry 14A,at_least_c,90.10600706713781,283,w3
4,Chemistry 14A,find_help,90.10600706713781,283,w3
5,Chemistry 14A,manage_time,76.32508833922262,283,w3
6,Chemistry 14A,own_words,75.61837455830388,283,w3
7,Chemistry 14A,study_habits,75.61837455830388,283,w3
8,Chemistry 14A,succeed,80.91872791519434,283,w3
9,Chemistry 14A,understand_study_strats,78.09187279151944,283,w3
10,Chemistry 14A,workload,73.14487632508833,283,w3
11,Chemistry 14AE,apply_math,63.63636363636363,11,w3
12,Chemistry 14AE,asking_questions,63.63636363636363,11,w3
13,Chemistry 14AE,at_least_b,81.81818181818183,11,w3
14,Chemistry 14AE,at_least_c,81.81818181818183,11,w3
15,Chemistry 14AE,find_help,90.9090909090909,11,w3
16,Chemistry 14AE,manage_time,81.81818181818183,11,w3
17,Chemistry 14AE,own_words,54.54545454545454,11,w3
18,Chemistry 14AE,study_habits,81.81818181818183,11,w3
19,Chemistry 14AE,succeed,100.0,11,w3
20,Chemistry 14AE,understand_study_strats,81.81818181818183,11,w3
21,Chemistry 14AE,workload,72.72727272727273,11,w3
22,Chemistry 14B,apply_math,70.6896551724138,58,w3
23,Chemistry 14B,asking_questions,34.48275862068966,58,w3
24,Chemistry 14B,at_least_b,82.75862068965517,58,w3
25,Chemistry 14B,at_least_c,89.65517241379311,58,w3
26,Chemistry 14B,find_help,77.58620689655173,58,w3
27,Chemistry 14B,manage_time,62.06896551724138,58,w3
28,Chemistry 14B,own_words,36.206896551724135,58,w3
29,Chemistry 14B,study_habits,70.6896551724138,58,w3
30,Chemistry 14B,succeed,50.0,58,w3
31,Chemistry 14B,understand_study_strats,75.86206896551724,58,w3
32,Chemistry 14B,workload,70.6896551724138,58,w3
33,Chemistry 14BL,apply_math,74.54545454545455,55,w3
34,Chemistry 14BL,asking_questions,58.18181818181818,55,w3
35,Chemistry 14BL,at_least_b,89.0909090909091,55,w3
36,Chemistry 14BL,at_least_c,90.9090909090909,55,w3
37,Chemistry 14BL,find_help,83.63636363636363,55,w3
38,Chemistry 14BL,manage_time,72.72727272727273,55,w3
39,Chemistry 14BL,own_words,67.27272727272727,55,w3
40,Chemistry 14BL,study_habits,76.36363636363637,55,w3
41,Chemistry 14BL,succeed,70.9090909090909,55,w3
42,Chemistry 14BL,understand_study_strats,80.0,55,w3
43,Chemistry 14BL,workload,69.0909090909091,55,w3
44,Chemistry 14C,apply_math,77.10843373493977,83,w3
45,Chemistry 14C,asking_questions,44.57831325301205,83,w3
46,Chemistry 14C,at_least_b,86.74698795180723,83,w3
47,Chemistry 14C,at_least_c,89.1566265060241,83,w3
48,Chemistry 14C,find_help,84.33734939759037,83,w3
49,Chemistry 14C,manage_time,66.26506024096386,83,w3
50,Chemistry 14C,own_words,65.06024096385542,83,w3
51,Chemistry 14C,study_habits,69.87951807228916,83,w3
52,Chemistry 14C,succeed,69.87951807228916,83,w3
53,Chemistry 14C,understand_study_strats,79.51807228915662,83,w3
54,Chemistry 14C,workload,61.44578313253012,83,w3
55,Chemistry 14D,apply_math,78.8135593220339,236,w3
56,Chemistry 14D,asking_questions,60.16949152542372,236,w3
57,Chemistry 14D,at_least_b,88.13559322033898,236,w3
58,Chemistry 14D,at_least_c,91.10169491525424,236,w3
59,Chemistry 14D,find_help,90.2542372881356,236,w3
60,Chemistry 14D,manage_time,68.22033898305084,236,w3
61,Chemistry 14D,own_words,74.57627118644068,236,w3
62,Chemistry 14D,study_habits,72.88135593220339,236,w3
63,Chemistry 14D,succeed,71.1864406779661,236,w3
64,Chemistry 14D,understand_study_strats,89.40677966101694,236,w3
65,Chemistry 14D,workload,68.64406779661016,236,w3
66,Chemistry 20A,apply_math,92.79661016949152,236,w3
67,Chemistry 20A,asking_questions,68.22033898305084,236,w3
68,Chemistry 20A,at_least_b,95.33898305084746,236,w3
69,Chemistry 20A,at_least_c,91.10169491525424,236,w3
70,Chemistry 20A,find_help,87.71186440677965,236,w3
71,Chemistry 20A,manage_time,80.50847457627118,236,w3
72,Chemistry 20A,own_words,80.50847457627118,236,w3
73,Chemistry 20A,study_habits,75.42372881355932,236,w3
74,Chemistry 20A,succeed,89.40677966101694,236,w3
75,Chemistry 20A,understand_study_strats,79.23728813559322,236,w3
76,Chemistry 20A,workload,86.86440677966102,236,w3
77,Chemistry 30A,apply_math,63.829787234042556,47,w3
78,Chemistry 30A,asking_questions,48.93617021276596,47,w3
79,Chemistry 30A,at_least_b,80.85106382978722,47,w3
80,Chemistry 30A,at_least_c,85.1063829787234,47,w3
81,Chemistry 30A,find_help,82.97872340425532,47,w3
82,Chemistry 30A,manage_time,48.93617021276596,47,w3
83,Chemistry 30A,own_words,63.829787234042556,47,w3
84,Chemistry 30A,study_habits,59.57446808510638,47,w3
85,Chemistry 30A,succeed,48.93617021276596,47,w3
86,Chemistry 30A,understand_study_strats,63.829787234042556,47,w3
87,Chemistry 30A,workload,53.191489361702125,47,w3
88,Chemistry 30AL,apply_math,87.03703703703704,54,w3
89,Chemistry 30AL,asking_questions,68.51851851851852,54,w3
90,Chemistry 30AL,at_least_b,90.74074074074075,54,w3
91,Chemistry 30AL,at_least_c,87.03703703703704,54,w3
92,Chemistry 30AL,find_help,83.33333333333334,54,w3
93,Chemistry 30AL,manage_time,81.48148148148148,54,w3
94,Chemistry 30AL,own_words,83.33333333333334,54,w3
95,Chemistry 30AL,study_habits,75.92592592592592,54,w3
96,Chemistry 30AL,succeed,87.03703703703704,54,w3
97,Chemistry 30AL,understand_study_strats,88.88888888888889,54,w3
98,Chemistry 30AL,workload,79.62962962962963,54,w3
99,Chemistry 30B,apply_math,84.34343434343434,198,w3
100,Chemistry 30B,asking_questions,60.60606060606061,198,w3
101,Chemistry 30B,at_least_b,85.35353535353535,198,w3
102,Chemistry 30B,at_least_c,85.35353535353535,198,w3
103,Chemistry 30B,find_help,87.87878787878788,198,w3
104,Chemistry 30B,manage_time,69.1919191919192,198,w3
105,Chemistry 30B,own_words,79.7979797979798,198,w3
106,Chemistry 30B,study_habits,72.72727272727273,198,w3
107,Chemistry 30B,succeed,72.72727272727273,198,w3
108,Chemistry 30B,understand_study_strats,84.34343434343434,198,w3
109,Chemistry 30B,workload,72.22222222222221,198,w3
110,Chemistry 30CL,apply_math,80.0,20,w3
111,Chemistry 30CL,asking_questions,70.0,20,w3
112,Chemistry 30CL,at_least_b,100.0,20,w3
113,Chemistry 30CL,at_least_c,95.0,20,w3
114,Chemistry 30CL,find_help,95.0,20,w3
115,Chemistry 30CL,manage_time,60.0,20,w3
116,Chemistry 30CL,own_words,90.0,20,w3
117,Chemistry 30CL,study_habits,75.0,20,w3
118,Chemistry 30CL,succeed,90.0,20,w3
119,Chemistry 30CL,understand_study_strats,90.0,20,w3
120,Chemistry 30CL,workload,85.0,20,w3
121,Chemistry 14A,challenges_are_growth,91.92307692307692,260,w3
122,Chemistry 14A,confident,96.15384615384616,260,w3
123,Chemistry 14A,develop_intelligence,98.46153846153847,260,w3
124,Chemistry 14A,improve_skills,98.46153846153847,260,w3
125,Chemistry 14A,mistakes_are_learning,96.53846153846153,260,w3
126,Chemistry 14A,motivate,83.84615384615385,260,w3
127,Chemistry 14A,reflect,84.23076923076923,260,w3
128,Chemistry 14A,seek_help,83.84615384615385,260,w3
129,Chemistry 14A,unfamiliar,76.15384615384615,260,w3
130,Chemistry 14A,when_struggle_find_way,90.0,260,w3
131,Chemistry 14AE,challenges_are_growth,83.33333333333334,6,w3
132,Chemistry 14AE,confident,100.0,6,w3
133,Chemistry 14AE,develop_intelligence,100.0,6,w3
134,Chemistry 14AE,improve_skills,83.33333333333334,6,w3
135,Chemistry 14AE,mistakes_are_learning,100.0,6,w3
136,Chemistry 14AE,motivate,66.66666666666666,6,w3
137,Chemistry 14AE,reflect,100.0,6,w3
138,Chemistry 14AE,seek_help,100.0,6,w3
139,Chemistry 14AE,unfamiliar,83.33333333333334,6,w3
140,Chemistry 14AE,when_struggle_find_way,83.33333333333334,6,w3
141,Chemistry 14B,challenges_are_growth,79.59183673469387,49,w3
142,Chemistry 14B,confident,81.63265306122449,49,w3
143,Chemistry 14B,develop_intelligence,91.83673469387756,49,w3
144,Chemistry 14B,improve_skills,91.83673469387756,49,w3
145,Chemistry 14B,mistakes_are_learning,95.91836734693877,49,w3
146,Chemistry 14B,motivate,67.3469387755102,49,w3
147,Chemistry 14B,reflect,75.51020408163265,49,w3
148,Chemistry 14B,seek_help,67.3469387755102,49,w3
149,Chemistry 14B,unfamiliar,51.02040816326531,49,w3
150,Chemistry 14B,when_struggle_find_way,75.51020408163265,49,w3
151,Chemistry 14BL,challenges_are_growth,80.95238095238095,42,w3
152,Chemistry 14BL,confident,78.57142857142857,42,w3
153,Chemistry 14BL,develop_intelligence,90.47619047619048,42,w3
154,Chemistry 14BL,improve_skills,92.85714285714286,42,w3
155,Chemistry 14BL,mistakes_are_learning,95.23809523809523,42,w3
156,Chemistry 14BL,motivate,78.57142857142857,42,w3
157,Chemistry 14BL,reflect,88.09523809523809,42,w3
158,Chemistry 14BL,seek_help,73.80952380952381,42,w3
159,Chemistry 14BL,unfamiliar,57.14285714285714,42,w3
160,Chemistry 14BL,when_struggle_find_way,78.57142857142857,42,w3
161,Chemistry 14C,challenges_are_growth,86.56716417910447,67,w3
162,Chemistry 14C,confident,83.5820895522388,67,w3
163,Chemistry 14C,develop_intelligence,97.01492537313433,67,w3
164,Chemistry 14C,improve_skills,97.01492537313433,67,w3
165,Chemistry 14C,mistakes_are_learning,91.04477611940298,67,w3
166,Chemistry 14C,motivate,85.07462686567165,67,w3
167,Chemistry 14C,reflect,83.5820895522388,67,w3
168,Chemistry 14C,seek_help,85.07462686567165,67,w3
169,Chemistry 14C,unfamiliar,59.70149253731343,67,w3
170,Chemistry 14C,when_struggle_find_way,89.55223880597015,67,w3
171,Chemistry 14D,challenges_are_growth,86.32478632478633,234,w3
172,Chemistry 14D,confident,88.46153846153845,234,w3
173,Chemistry 14D,develop_intelligence,95.2991452991453,234,w3
174,Chemistry 14D,improve_skills,96.58119658119658,234,w3
175,Chemistry 14D,mistakes_are_learning,94.87179487179486,234,w3
176,Chemistry 14D,motivate,82.90598290598291,234,w3
177,Chemistry 14D,reflect,84.61538461538461,234,w3
178,Chemistry 14D,seek_help,82.47863247863248,234,w3
179,Chemistry 14D,unfamiliar,64.95726495726495,234,w3
180,Chemistry 14D,when_struggle_find_way,85.47008547008546,234,w3
181,Chemistry 20A,challenges_are_growth,89.49771689497716,219,w3
182,Chemistry 20A,confident,94.52054794520548,219,w3
183,Chemistry 20A,develop_intelligence,98.17351598173516,219,w3
184,Chemistry 20A,improve_skills,99.08675799086758,219,w3
185,Chemistry 20A,mistakes_are_learning,96.34703196347031,219,w3
186,Chemistry 20A,motivate,88.12785388127854,219,w3
187,Chemistry 20A,reflect,79.90867579908677,219,w3
188,Chemistry 20A,seek_help,84.47488584474885,219,w3
189,Chemistry 20A,unfamiliar,77.6255707762557,219,w3
190,Chemistry 20A,when_struggle_find_way,92.23744292237443,219,w3
191,Chemistry 30A,challenges_are_growth,79.59183673469387,49,w3
192,Chemistry 30A,confident,89.79591836734694,49,w3
193,Chemistry 30A,develop_intelligence,95.91836734693877,49,w3
194,Chemistry 30A,improve_skills,93.87755102040816,49,w3
195,Chemistry 30A,mistakes_are_learning,85.71428571428571,49,w3
196,Chemistry 30A,motivate,71.42857142857143,49,w3
197,Chemistry 30A,reflect,77.55102040816327,49,w3
198,Chemistry 30A,seek_help,69.38775510204081,49,w3
199,Chemistry 30A,unfamiliar,61.224489795918366,49,w3
200,Chemistry 30A,when_struggle_find_way,71.42857142857143,49,w3
201,Chemistry 30AL,challenges_are_growth,87.03703703703704,54,w3
202,Chemistry 30AL,confident,79.62962962962963,54,w3
203,Chemistry 30AL,develop_intelligence,98.14814814814815,54,w3
204,Chemistry 30AL,improve_skills,94.44444444444444,54,w3
205,Chemistry 30AL,mistakes_are_learning,90.74074074074075,54,w3
206,Chemistry 30AL,motivate,79.62962962962963,54,w3
207,Chemistry 30AL,reflect,79.62962962962963,54,w3
208,Chemistry 30AL,seek_help,75.92592592592592,54,w3
209,Chemistry 30AL,unfamiliar,68.51851851851852,54,w3
210,Chemistry 30AL,when_struggle_find_way,88.88888888888889,54,w3
211,Chemistry 30B,challenges_are_growth,88.17733990147784,203,w3
212,Chemistry 30B,confident,88.17733990147784,203,w3
213,Chemistry 30B,develop_intelligence,98.0295566502463,203,w3
214,Chemistry 30B,improve_skills,97.53694581280789,203,w3
215,Chemistry 30B,mistakes_are_learning,96.55172413793103,203,w3
216,Chemistry 30B,motivate,78.81773399014779,203,w3
217,Chemistry 30B,reflect,83.74384236453201,203,w3
