,course,question,pct_agree,n,time
0,Chemistry 14A,apply_math,89.0728476821192,302,w3
1,Chemistry 14A,asking_questions,57.284768211920536,302,w3
2,Chemistry 14A,at_least_b,89.73509933774835,302,w3
3,Chemistry 14A,at_least_c,87.74834437086093,302,w3
4,Chemistry 14A,attention_check,3.9735099337748347,302,w3
5,Chemistry 14A,find_help,89.0728476821192,302,w3
6,Chemistry 14A,manage_time,75.82781456953643,302,w3
7,Chemistry 14A,own_words,74.83443708609272,302,w3
8,Chemistry 14A,study_habits,74.50331125827815,302,w3
9,Chemistry 14A,succeed,80.4635761589404,302,w3
10,Chemistry 14A,understand_study_strats,78.1456953642384,302,w3
11,Chemistry 14A,workload,71.8543046357616,302,w3
12,Chemistry 14AE,apply_math,63.63636363636363,11,w3
13,Chemistry 14AE,asking_questions,63.63636363636363,11,w3
14,Chemistry 14AE,at_least_b,81.81818181818183,11,w3
15,Chemistry 14AE,at_least_c,81.81818181818183,11,w3
16,Chemistry 14AE,attention_check,0.0,11,w3
17,Chemistry 14AE,find_help,90.9090909090909,11,w3
18,Chemistry 14AE,manage_time,81.81818181818183,11,w3
19,Chemistry 14AE,own_words,54.54545454545454,11,w3
20,Chemistry 14AE,study_habits,81.81818181818183,11,w3
21,Chemistry 14AE,succeed,100.0,11,w3
22,Chemistry 14AE,understand_study_strats,81.81818181818183,11,w3
23,Chemistry 14AE,workload,72.72727272727273,11,w3
24,Chemistry 14B,apply_math,67.1875,64,w3
25,Chemistry 14B,asking_questions,35.9375,64,w3
26,Chemistry 14B,at_least_b,79.6875,64,w3
27,Chemistry 14B,at_least_c,85.9375,64,w3
28,Chemistry 14B,attention_check,3.125,64,w3
29,Chemistry 14B,find_help,75.0,64,w3
30,Chemistry 14B,manage_time,60.9375,64,w3
31,Chemistry 14B,own_words,37.5,64,w3
32,Chemistry 14B,study_habits,68.75,64,w3
33,Chemistry 14B,succeed,50.0,64,w3
34,Chemistry 14B,understand_study_strats,73.4375,64,w3
35,Chemistry 14B,workload,68.75,64,w3
36,Chemistry 14BL,apply_math,74.60317460317461,63,w3
37,Chemistry 14BL,asking_questions,58.730158730158735,63,w3
38,Chemistry 14BL,at_least_b,88.88888888888889,63,w3
39,Chemistry 14BL,at_least_c,90.47619047619048,63,w3
40,Chemistry 14BL,attention_check,6.349206349206349,63,w3
41,Chemistry 14BL,find_help,82.53968253968253,63,w3
42,Chemistry 14BL,manage_time,71.42857142857143,63,w3
43,Chemistry 14BL,own_words,66.66666666666666,63,w3
44,Chemistry 14BL,study_habits,76.19047619047619,63,w3
45,Chemistry 14BL,succeed,71.42857142857143,63,w3
46,Chemistry 14BL,understand_study_strats,77.77777777777779,63,w3
47,Chemistry 14BL,workload,68.25396825396825,63,w3
48,Chemistry 14C,apply_math,76.66666666666667,90,w3
49,Chemistry 14C,asking_questions,45.55555555555556,90,w3
50,Chemistry 14C,at_least_b,87.77777777777777,90,w3
51,Chemistry 14C,at_least_c,88.88888888888889,90,w3
52,Chemistry 14C,attention_check,4.444444444444445,90,w3
